resourceId,name,area,description,resourceCategoryId,resourceModel,feeScheduleId,order,maxStay,minCapacity,maxCapacity,zoneCapacity,allowedEquipment,availability,campground,equipmentBucket,mapIds,Adjacent To,Alcohol Permitted,Barrier Free,Charcoal Barbeque,Conditions,Cooking Facilities,Dogs Allowed,Double Site,Electrical Service,Fee Type,Fire Pit Available,Fire Pit Location,Ground Cover,Obstructions,Off-Site Vehicle Parking,On-Site Vehicle Parking,Outlet Distance (m),Pad Slope,Park-Private,Privacy,Pull-through,Quality,Restrictions,Roofed Barrier Free,Rooms,Service Type,Shower Type,Site Length (m),Site Shade,Site Width (m),Sleeping Configuration,Toilet,Water Tap,photo1,photo2,photo3,photo4,photo5,photo6
-2147481592,E1,,,-2147483648,0,-32763,10,,1,6,,1,Available,E sites · electric (6),Tent only,-2147483606,,,No,,,,,No,,Regular Rate,,Middle Right,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,17.0,Full Shade,12.0,,,,https://reservations.ontarioparks.ca/images/ffbf49f0-f68b-4b67-afe6-de06dd6dd9ce.jpg,https://reservations.ontarioparks.ca/images/ffbfc28c-0e39-4606-91af-fe0145792d2d.jpg,https://reservations.ontarioparks.ca/images/ff44f08e-c1b3-48e9-9dd3-3d11fd1b30fe.jpg,,,
-2147481679,E2,,,-2147483648,0,-32763,20,,1,6,,1,Available,E sites · electric (6),Trailer / motorhome,-2147483606,,,No,,,,,No,,Regular Rate,,Back Left,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,20.0,Full Shade,11.0,,,,https://reservations.ontarioparks.ca/images/83bc6c7a-7759-43a6-b7a6-e11e9ef6ce70.jpg,https://reservations.ontarioparks.ca/images/d45ed287-2b3f-46cf-bb1f-38c163473671.jpg,https://reservations.ontarioparks.ca/images/8f830beb-3cd5-4c6c-a031-da9281b6cc16.jpg,,,
-2147481843,E3,,,-2147483648,0,-32763,30,,1,6,,1,Available,E sites · electric (6),Tent only,-2147483606,,,No,,,,,No,,Regular Rate,,Back Centre,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,13.0,Full Shade,11.0,,,,https://reservations.ontarioparks.ca/images/110e7669-6270-463f-bebe-ad678bada06c.jpg,https://reservations.ontarioparks.ca/images/2a7b196f-959f-4a2f-a028-99ec0de52f71.jpg,https://reservations.ontarioparks.ca/images/22869e52-982d-4c33-92af-96b35a76d463.jpg,,,
-2147481665,E4,,,-2147483648,0,-32763,40,,1,6,,1,Available,E sites · electric (6),Tent only,-2147483606,,,No,,,,,No,,Regular Rate,,Back Left,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,14.0,Full Shade,10.0,,,,https://reservations.ontarioparks.ca/images/3a6c206f-b08e-43cd-b960-e4e9feb7863b.jpg,https://reservations.ontarioparks.ca/images/be6807a4-aa31-41a5-b1f6-ea4aa10ca33d.jpg,https://reservations.ontarioparks.ca/images/69cb4cc6-e0b4-4942-a913-bdc69aed318b.jpg,,,
-2147482024,E5,,,-2147483648,0,-32763,50,,1,6,,1,Available,E sites · electric (6),Tent only,-2147483606,,,No,,,,,No,,Regular Rate,,Back Centre,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,17.0,Full Shade,14.0,,,,https://reservations.ontarioparks.ca/images/fb6aadae-2c3b-4c65-b190-de7d4f4d18ea.jpg,https://reservations.ontarioparks.ca/images/60d78701-57b3-467d-949c-ec227e560550.jpg,https://reservations.ontarioparks.ca/images/1f1e77e4-4c39-45ce-9418-6a89d734d18b.jpg,,,
-2147481983,E6,,,-2147483648,0,-32763,60,,1,6,,1,Available,E sites · electric (6),Tent only,-2147483606,,,No,,,,,No,,Regular Rate,,Front Left,"Grass, Soil",,2,0,,,,Good,,Good,"Walk In, Radio Free",,,Non-Electric,,11.0,Full Shade,16.0,,,,https://reservations.ontarioparks.ca/images/a888c766-bf18-46d4-90a6-8991289cefab.jpg,https://reservations.ontarioparks.ca/images/ce9c9998-02b1-4511-b5d0-a8dd375cf11f.jpg,https://reservations.ontarioparks.ca/images/311b2435-42a1-4e8d-9eaf-60180b6b2291.jpg,,,
-2147481797,100,,,-2147483648,0,-32763,6000,,1,6,,6,Available,Sites #100-128 (30),Trailer / motorhome,-2147483613,Water Tap,,No,,Above Avg. Vehicular Traffic,,,No,,Regular Rate,,Back Right,Soil,,1,2,,,,Average,No,Average,,,,Non-Electric,,22.0,Partial Shade - PM Sun,25.0,,,,https://reservations.ontarioparks.ca/images/e75fab5b-16b0-4a95-ae39-55dbac9f8283.jpg,https://reservations.ontarioparks.ca/images/07b2b2c1-50bf-400d-95fb-dec0ff72149a.jpg,,,,
-2147481791,101,,,-2147483648,0,-32763,6010,,1,6,,4,Walk-in,Sites #100-128 (30),Small trailer / pop-up,-2147483613,Campsite (less than 100m),,No,,,,,No,,Regular Rate,,Middle Left,Grass,,1,2,,,Yes,Poor,Yes,Average,,,,Non-Electric,,16.0,No Shade/Full Sun,21.0,,,,https://reservations.ontarioparks.ca/images/dcac6113-a756-45f5-8c97-fd7ec199e744.jpg,https://reservations.ontarioparks.ca/images/57ae7eb4-6347-4c95-8b88-ba694ab2ccd5.jpg,,,,
-2147481558,102,,,-2147483648,0,-32763,6020,,1,6,,4,Available,Sites #100-128 (30),Small trailer / pop-up,-2147483613,Campsite (less than 100m),,No,,,,,No,,Regular Rate,,Back Centre,"Grass, Soil",,1,2,,,,Poor,Yes,Average,,,,Non-Electric,,16.0,No Shade/Full Sun,17.0,,,,https://reservations.ontarioparks.ca/images/865fbe7d-61e4-4d56-bf95-4b3c503ee1d3.jpg,https://reservations.ontarioparks.ca/images/d56c144f-cba4-4b58-9a76-fdaa9c65c29d.jpg,,,,
-2147481606,103,,,-2147483648,0,-32763,6030,,1,6,,4,Walk-in,Sites #100-128 (30),Small trailer / pop-up,-2147483613,Campsite (less than 100m),,No,,,,,No,,Regular Rate,,Back Right,"Grass, Soil",,1,2,,,Yes,Poor,Yes,Average,,,,Non-Electric,,15.0,Partial Shade,20.0,,,,https://reservations.ontarioparks.ca/images/7238f594-bd8b-4dbf-9e1a-ef4fd146d14e.jpg,https://reservations.ontarioparks.ca/images/e429d40e-cc33-44be-9145-f5d4b787df63.jpg,,,,
